location,vaccine,total_vaccinations
Austria,Johnson&Johnson,0
Austria,Moderna,0
Austria,Oxford/AstraZeneca,0
Austria,Pfizer/BioNTech,31394
Austria,Johnson&Johnson,0
Austria,Moderna,91
Austria,Oxford/AstraZeneca,0
Austria,Pfizer/BioNTech,116787
Austria,Johnson&Johnson,0
Austria,Moderna,310
Austria,Oxford/AstraZeneca,1
Austria,Pfizer/BioNTech,214625
Austria,Johnson&Johnson,0
Austria,Moderna,4263
Austria,Oxford/AstraZeneca,2
Austria,Pfizer/BioNTech,259623
Austria,Johnson&Johnson,0
Austria,Moderna,5967
Austria,Oxford/AstraZeneca,10
Austria,Pfizer/BioNTech,355562
Austria,Johnson&Johnson,0
Austria,Moderna,10065
Austria,Oxford/AstraZeneca,10834
Austria,Pfizer/BioNTech,457486
Austria,Johnson&Johnson,0
Austria,Moderna,14200
Austria,Oxford/AstraZeneca,43674
Austria,Pfizer/BioNTech,523386
Austria,Johnson&Johnson,0
Austria,Moderna,22625
Austria,Oxford/AstraZeneca,101612
Austria,Pfizer/BioNTech,584751
Austria,Johnson&Johnson,0
Austria,Moderna,31985
Austria,Oxford/AstraZeneca,156570
Austria,Pfizer/BioNTech,689442
Austria,Johnson&Johnson,0
Austria,Moderna,47366
Austria,Oxford/AstraZeneca,235426
Austria,Pfizer/BioNTech,852795
Austria,Johnson&Johnson,16
Austria,Moderna,79205
Austria,Oxford/AstraZeneca,308857
Austria,Pfizer/BioNTech,985682
Austria,Johnson&Johnson,30
Austria,Moderna,104644
Austria,Oxford/AstraZeneca,384409
Austria,Pfizer/BioNTech,1132083
Austria,Johnson&Johnson,51
Austria,Moderna,141061
Austria,Oxford/AstraZeneca,423025
Austria,Pfizer/BioNTech,1280443
Austria,Johnson&Johnson,93
Austria,Moderna,180646
Austria,Oxford/AstraZeneca,513583
Austria,Pfizer/BioNTech,1502008
Austria,Johnson&Johnson,102
Austria,Moderna,223207
Austria,Oxford/AstraZeneca,609634
Austria,Pfizer/BioNTech,1735971
Austria,Johnson&Johnson,107
Austria,Moderna,260552
Austria,Oxford/AstraZeneca,658644
Austria,Pfizer/BioNTech,1999668
Austria,Johnson&Johnson,370
Austria,Moderna,299528
Austria,Oxford/AstraZeneca,701154
Austria,Pfizer/BioNTech,2273247
Austria,Johnson&Johnson,6507
Austria,Moderna,348843
Austria,Oxford/AstraZeneca,764266
Austria,Pfizer/BioNTech,2603812
Austria,Johnson&Johnson,13509
Austria,Moderna,398748
Austria,Oxford/AstraZeneca,828537
Austria,Pfizer/BioNTech,2903381
Austria,Johnson&Johnson,25776
Austria,Moderna,466754
Austria,Oxford/AstraZeneca,906436
Austria,Pfizer/BioNTech,3281282
Austria,Johnson&Johnson,37936
Austria,Moderna,520373
Austria,Oxford/AstraZeneca,989483
Austria,Pfizer/BioNTech,3616651
Austria,Johnson&Johnson,58161
Austria,Moderna,575774
Austria,Oxford/AstraZeneca,1058274
Austria,Pfizer/BioNTech,4042366
Austria,Johnson&Johnson,79823
Austria,Moderna,638794
Austria,Oxford/AstraZeneca,1153814
Austria,Pfizer/BioNTech,4480949
Austria,Johnson&Johnson,94785
Austria,Moderna,688445
Austria,Oxford/AstraZeneca,1206354
Austria,Pfizer/BioNTech,4936120
Austria,Johnson&Johnson,103341
Austria,Moderna,744198
Austria,Oxford/AstraZeneca,1280416
Austria,Pfizer/BioNTech,5380997
Austria,Johnson&Johnson,128732
Austria,Moderna,804263
Austria,Oxford/AstraZeneca,1388412
Austria,Pfizer/BioNTech,5772027
Austria,Johnson&Johnson,152772
Austria,Moderna,854611
Austria,Oxford/AstraZeneca,1456366
Austria,Pfizer/BioNTech,6099199
Austria,Johnson&Johnson,172017
Austria,Moderna,899091
Austria,Oxford/AstraZeneca,1508128
Austria,Pfizer/BioNTech,6371031
Austria,Johnson&Johnson,188528
Austria,Moderna,945569
Austria,Oxford/AstraZeneca,1537976
Austria,Pfizer/BioNTech,6619031
Austria,Johnson&Johnson,200546
Austria,Moderna,964458
Austria,Oxford/AstraZeneca,1564619
Austria,Pfizer/BioNTech,6828350
Austria,Johnson&Johnson,215626
Austria,Moderna,982232
Austria,Oxford/AstraZeneca,1580166
Austria,Pfizer/BioNTech,7004611
Austria,Johnson&Johnson,225832
Austria,Moderna,991644
Austria,Oxford/AstraZeneca,1586142
Austria,Pfizer/BioNTech,7128476
Austria,Johnson&Johnson,239125
Austria,Moderna,1005562
Austria,Oxford/AstraZeneca,1589504
Austria,Pfizer/BioNTech,7220530
Austria,Johnson&Johnson,252693
Austria,Moderna,1009179
Austria,Oxford/AstraZeneca,1591784
Austria,Pfizer/BioNTech,7277667
Austria,Johnson&Johnson,265317
Austria,Moderna,1013838
Austria,Oxford/AstraZeneca,1594153
Austria,Pfizer/BioNTech,7325591
Austria,Johnson&Johnson,278165
Austria,Moderna,1016442
Austria,Oxford/AstraZeneca,1595561
Austria,Pfizer/BioNTech,7372476
Belgium,Johnson&Johnson,0
Belgium,Moderna,0
Belgium,Oxford/AstraZeneca,0
Belgium,Pfizer/BioNTech,27987
Belgium,Johnson&Johnson,0
Belgium,Moderna,35
Belgium,Oxford/AstraZeneca,0
Belgium,Pfizer/BioNTech,126750
Belgium,Johnson&Johnson,0
Belgium,Moderna,4493
Belgium,Oxford/AstraZeneca,0
Belgium,Pfizer/BioNTech,244427
Belgium,Johnson&Johnson,0
Belgium,Moderna,6181
Belgium,Oxford/AstraZeneca,0
Belgium,Pfizer/BioNTech,334015
Belgium,Johnson&Johnson,0
Belgium,Moderna,15919
Belgium,Oxford/AstraZeneca,0
Belgium,Pfizer/BioNTech,462934
Belgium,Johnson&Johnson,0
Belgium,Moderna,25488
Belgium,Oxford/AstraZeneca,348
Belgium,Pfizer/BioNTech,598344
Belgium,Johnson&Johnson,0
Belgium,Moderna,30274
Belgium,Oxford/AstraZeneca,10715
Belgium,Pfizer/BioNTech,698889
Belgium,Johnson&Johnson,0
Belgium,Moderna,32730
Belgium,Oxford/AstraZeneca,45224
Belgium,Pfizer/BioNTech,787397
Belgium,Johnson&Johnson,0
Belgium,Moderna,51534
Belgium,Oxford/AstraZeneca,109928
Belgium,Pfizer/BioNTech,876329
Belgium,Johnson&Johnson,0
Belgium,Moderna,67419
Belgium,Oxford/AstraZeneca,190971
Belgium,Pfizer/BioNTech,972628
Belgium,Johnson&Johnson,0
Belgium,Moderna,89858
Belgium,Oxford/AstraZeneca,350656
Belgium,Pfizer/BioNTech,1082905
Belgium,Johnson&Johnson,0
Belgium,Moderna,100157
Belgium,Oxford/AstraZeneca,461238
Belgium,Pfizer/BioNTech,1279352
Belgium,Johnson&Johnson,0
Belgium,Moderna,127922
Belgium,Oxford/AstraZeneca,521165
Belgium,Pfizer/BioNTech,1537834
Belgium,Johnson&Johnson,0
Belgium,Moderna,175105
Belgium,Oxford/AstraZeneca,600811
Belgium,Pfizer/BioNTech,1855765
Belgium,Johnson&Johnson,0
Belgium,Moderna,209674
Belgium,Oxford/AstraZeneca,781647
Belgium,Pfizer/BioNTech,2132966
Belgium,Johnson&Johnson,0
Belgium,Moderna,260986
Belgium,Oxford/AstraZeneca,838516
Belgium,Pfizer/BioNTech,2449867
Belgium,Johnson&Johnson,2987
Belgium,Moderna,287998
Belgium,Oxford/AstraZeneca,903950
Belgium,Pfizer/BioNTech,2805557
Belgium,Johnson&Johnson,23837
Belgium,Moderna,345798
Belgium,Oxford/AstraZeneca,1006606
Belgium,Pfizer/BioNTech,3357456
Belgium,Johnson&Johnson,29530
Belgium,Moderna,400285
Belgium,Oxford/AstraZeneca,1099555
Belgium,Pfizer/BioNTech,3808833
Belgium,Johnson&Johnson,49990
Belgium,Moderna,502069
Belgium,Oxford/AstraZeneca,1366353
Belgium,Pfizer/BioNTech,4177678
Belgium,Johnson&Johnson,73730
Belgium,Moderna,576384
Belgium,Oxford/AstraZeneca,1466174
Belgium,Pfizer/BioNTech,4619445
Belgium,Johnson&Johnson,97507
Belgium,Moderna,652607
Belgium,Oxford/AstraZeneca,1569455
Belgium,Pfizer/BioNTech,5317945
Belgium,Johnson&Johnson,143689
Belgium,Moderna,738890
Belgium,Oxford/AstraZeneca,1756366
Belgium,Pfizer/BioNTech,6071275
Belgium,Johnson&Johnson,213045
Belgium,Moderna,845150
Belgium,Oxford/AstraZeneca,1891195
Belgium,Pfizer/BioNTech,6783999
Belgium,Johnson&Johnson,243957
Belgium,Moderna,957709
Belgium,Oxford/AstraZeneca,1960288
Belgium,Pfizer/BioNTech,7443748
Belgium,Johnson&Johnson,267370
Belgium,Moderna,1041204
Belgium,Oxford/AstraZeneca,2060074
Belgium,Pfizer/BioNTech,7912450
Belgium,Johnson&Johnson,282402
Belgium,Moderna,1102723
Belgium,Oxford/AstraZeneca,2287101
Belgium,Pfizer/BioNTech,8446047
Belgium,Johnson&Johnson,300403
Belgium,Moderna,1157388
Belgium,Oxford/AstraZeneca,2441445
Belgium,Pfizer/BioNTech,8953431
Belgium,Johnson&Johnson,310965
Belgium,Moderna,1210866
Belgium,Oxford/AstraZeneca,2547635
Belgium,Pfizer/BioNTech,9505062
Belgium,Johnson&Johnson,320110
Belgium,Moderna,1241748
Belgium,Oxford/AstraZeneca,2638957
Belgium,Pfizer/BioNTech,10013629
Belgium,Johnson&Johnson,329109
Belgium,Moderna,1265146
Belgium,Oxford/AstraZeneca,2699497
Belgium,Pfizer/BioNTech,10371466
Belgium,Johnson&Johnson,336284
Belgium,Moderna,1282423
Belgium,Oxford/AstraZeneca,2812505
Belgium,Pfizer/BioNTech,10522082
Belgium,Johnson&Johnson,341842
Belgium,Moderna,1293803
Belgium,Oxford/AstraZeneca,2822028
Belgium,Pfizer/BioNTech,10620824
Belgium,Johnson&Johnson,347383
Belgium,Moderna,1301497
Belgium,Oxford/AstraZeneca,2825459
Belgium,Pfizer/BioNTech,10692297
Belgium,Johnson&Johnson,351975
Belgium,Moderna,1310642
Belgium,Oxford/AstraZeneca,2827828
Belgium,Pfizer/BioNTech,10743619
Belgium,Johnson&Johnson,353159
Belgium,Moderna,1315014
Belgium,Oxford/AstraZeneca,2828269
Belgium,Pfizer/BioNTech,10757111
Bulgaria,Pfizer/BioNTech,0
Bulgaria,Moderna,0
Bulgaria,Pfizer/BioNTech,13473
Bulgaria,Moderna,491
Bulgaria,Pfizer/BioNTech,17962
Bulgaria,Moderna,843
Bulgaria,Pfizer/BioNTech,25300
Bulgaria,Moderna,1053
Bulgaria,Pfizer/BioNTech,40072
Bulgaria,Moderna,2207
Bulgaria,Oxford/AstraZeneca,10
Bulgaria,Pfizer/BioNTech,54821
Bulgaria,Moderna,3333
Bulgaria,Oxford/AstraZeneca,2035
Bulgaria,Pfizer/BioNTech,70020
Bulgaria,Moderna,6446
Bulgaria,Oxford/AstraZeneca,28947
Bulgaria,Pfizer/BioNTech,83960
Bulgaria,Moderna,10475
Bulgaria,Oxford/AstraZeneca,97630
Bulgaria,Pfizer/BioNTech,104340
Bulgaria,Moderna,14820
Bulgaria,Oxford/AstraZeneca,143932
Bulgaria,Pfizer/BioNTech,129880
Bulgaria,Moderna,16988
Bulgaria,Oxford/AstraZeneca,174209
Bulgaria,Pfizer/BioNTech,147683
Bulgaria,Moderna,20921
Bulgaria,Oxford/AstraZeneca,179029
Bulgaria,Pfizer/BioNTech,168956
Bulgaria,Moderna,34004
Bulgaria,Oxford/AstraZeneca,206835
Bulgaria,Pfizer/BioNTech,195704
Bulgaria,Moderna,44809
Bulgaria,Oxford/AstraZeneca,230180
Bulgaria,Pfizer/BioNTech,228583
Bulgaria,Moderna,59160
Bulgaria,Oxford/AstraZeneca,238387
Bulgaria,Pfizer/BioNTech,275118
Bulgaria,Johnson&Johnson,0
Bulgaria,Moderna,74318
Bulgaria,Oxford/AstraZeneca,241707
Bulgaria,Pfizer/BioNTech,322422
Bulgaria,Johnson&Johnson,0
Bulgaria,Moderna,93241
Bulgaria,Oxford/AstraZeneca,247383
Bulgaria,Pfizer/BioNTech,382650
Bulgaria,Johnson&Johnson,0
Bulgaria,Moderna,108865
Bulgaria,Oxford/AstraZeneca,263756
Bulgaria,Pfizer/BioNTech,452036
Bulgaria,Johnson&Johnson,0
Bulgaria,Moderna,122688
Bulgaria,Oxford/AstraZeneca,300451
Bulgaria,Pfizer/BioNTech,514960
Bulgaria,Johnson&Johnson,398
Bulgaria,Moderna,145571
Bulgaria,Oxford/AstraZeneca,364379
Bulgaria,Pfizer/BioNTech,606439
Bulgaria,Johnson&Johnson,2629
Bulgaria,Moderna,165767
Bulgaria,Oxford/AstraZeneca,401422
Bulgaria,Pfizer/BioNTech,690983
Bulgaria,Johnson&Johnson,6276
Bulgaria,Moderna,181502
Bulgaria,Oxford/AstraZeneca,411232
Bulgaria,Pfizer/BioNTech,754371
Bulgaria,Johnson&Johnson,11142
Bulgaria,Moderna,190457
Bulgaria,Oxford/AstraZeneca,435357
Bulgaria,Pfizer/BioNTech,827459
Bulgaria,Johnson&Johnson,17987
Bulgaria,Moderna,202784
Bulgaria,Oxford/AstraZeneca,457900
Bulgaria,Pfizer/BioNTech,898271
Bulgaria,Johnson&Johnson,25928
Bulgaria,Moderna,216421
Bulgaria,Oxford/AstraZeneca,467870
Bulgaria,Pfizer/BioNTech,949706
Bulgaria,Johnson&Johnson,33099
Bulgaria,Moderna,225728
Bulgaria,Oxford/AstraZeneca,470990
Bulgaria,Pfizer/BioNTech,997114
Bulgaria,Johnson&Johnson,39994
Bulgaria,Moderna,234047
Bulgaria,Oxford/AstraZeneca,472860
Bulgaria,Pfizer/BioNTech,1042927
Bulgaria,Johnson&Johnson,48424
Bulgaria,Moderna,241862
Bulgaria,Oxford/AstraZeneca,474021
Bulgaria,Pfizer/BioNTech,1086383
Bulgaria,Johnson&Johnson,58430
Bulgaria,Moderna,247955
Bulgaria,Oxford/AstraZeneca,474812
Bulgaria,Pfizer/BioNTech,1127926
Bulgaria,Johnson&Johnson,68108
Bulgaria,Moderna,252761
Bulgaria,Oxford/AstraZeneca,475720
Bulgaria,Pfizer/BioNTech,1167720
Bulgaria,Johnson&Johnson,78440
Bulgaria,Moderna,258066
Bulgaria,Oxford/AstraZeneca,476371
Bulgaria,Pfizer/BioNTech,1212406
Bulgaria,Johnson&Johnson,89960
Bulgaria,Moderna,263844
Bulgaria,Oxford/AstraZeneca,476700
Bulgaria,Pfizer/BioNTech,1256750
Bulgaria,Johnson&Johnson,102550
Bulgaria,Moderna,269269
Bulgaria,Oxford/AstraZeneca,477025
Bulgaria,Pfizer/BioNTech,1298259
Bulgaria,Johnson&Johnson,116845
Bulgaria,Moderna,274596
Bulgaria,Oxford/AstraZeneca,477363
Bulgaria,Pfizer/BioNTech,1341032
Bulgaria,Johnson&Johnson,133004
Bulgaria,Moderna,280188
Bulgaria,Oxford/AstraZeneca,477659
Bulgaria,Pfizer/BioNTech,1387124
Bulgaria,Johnson&Johnson,149767
Bulgaria,Moderna,285738
Bulgaria,Oxford/AstraZeneca,477825
Bulgaria,Pfizer/BioNTech,1428817
Bulgaria,Johnson&Johnson,161596
Bulgaria,Moderna,285738
Bulgaria,Oxford/AstraZeneca,477825
Bulgaria,Pfizer/BioNTech,1428817
Chile,Pfizer/BioNTech,420
Chile,Pfizer/BioNTech,5201
Chile,Pfizer/BioNTech,8344
Chile,Pfizer/BioNTech,8655
Chile,Pfizer/BioNTech,8655
Chile,Pfizer/BioNTech,8655
Chile,Pfizer/BioNTech,8655
Chile,Pfizer/BioNTech,8655
Chile,Pfizer/BioNTech,8655
Chile,Pfizer/BioNTech,8655
Chile,Pfizer/BioNTech,8655
Chile,Pfizer/BioNTech,9060
Chile,Pfizer/BioNTech,10503
Chile,Pfizer/BioNTech,10708
Chile,Pfizer/BioNTech,10708
Chile,Pfizer/BioNTech,10708
Chile,Pfizer/BioNTech,10708
Chile,Pfizer/BioNTech,10708
Chile,Pfizer/BioNTech,10708
Chile,Pfizer/BioNTech,10708
Chile,Pfizer/BioNTech,11741
Chile,Pfizer/BioNTech,18657
Chile,Pfizer/BioNTech,22088
Chile,Pfizer/BioNTech,22178
Chile,Pfizer/BioNTech,22178
Chile,Pfizer/BioNTech,33229
Chile,Pfizer/BioNTech,52591
Chile,Pfizer/BioNTech,61900
Chile,Pfizer/BioNTech,64957
Chile,Pfizer/BioNTech,65372
Chile,Pfizer/BioNTech,65372
Chile,Pfizer/BioNTech,65372
Chile,Pfizer/BioNTech,66792
Chile,Pfizer/BioNTech,67408
Chile,Pfizer/BioNTech,67443
Chile,Pfizer/BioNTech,67443
Chile,Pfizer/BioNTech,67448
Chile,Pfizer/BioNTech,67449
Chile,Pfizer/BioNTech,67449
Chile,Pfizer/BioNTech,67449
Chile,Pfizer/BioNTech,67455
Chile,Sinovac,13185
Chile,Pfizer/BioNTech,67455
Chile,Sinovac,183557
Chile,Pfizer/BioNTech,69583
Chile,Sinovac,357570
Chile,Pfizer/BioNTech,70271
Chile,Sinovac,526371
Chile,Pfizer/BioNTech,70276
Chile,Sinovac,554222
Chile,Pfizer/BioNTech,70278
Chile,Sinovac,562860
Chile,Pfizer/BioNTech,82078
Chile,Sinovac,784347
Chile,Pfizer/BioNTech,101558
Chile,Sinovac,1026750
Chile,Pfizer/BioNTech,110003
Chile,Sinovac,1299089
Chile,Pfizer/BioNTech,113076
Chile,Sinovac,1550297
Chile,Pfizer/BioNTech,113436
Chile,Sinovac,1779416
Chile,Pfizer/BioNTech,113469
Chile,Sinovac,1808939
Chile,Pfizer/BioNTech,113469
Chile,Sinovac,1813407
Chile,Pfizer/BioNTech,113470
Chile,Sinovac,2079269
Chile,Pfizer/BioNTech,113482
Chile,Sinovac,2299335
Chile,Pfizer/BioNTech,113482
Chile,Sinovac,2487382
Chile,Pfizer/BioNTech,113485
Chile,Sinovac,2642650
Chile,Pfizer/BioNTech,113485
Chile,Sinovac,2784783
Chile,Pfizer/BioNTech,113487
Chile,Sinovac,2794423
Chile,Pfizer/BioNTech,113487
Chile,Sinovac,2795585
Chile,Pfizer/BioNTech,125579
Chile,Sinovac,2891623
Chile,Pfizer/BioNTech,150423
Chile,Sinovac,2961020
Chile,Pfizer/BioNTech,178942
Chile,Sinovac,3018776
Chile,Pfizer/BioNTech,212660
Chile,Sinovac,3071140
Chile,Pfizer/BioNTech,242391
Chile,Sinovac,3119807
Chile,Pfizer/BioNTech,248716
Chile,Sinovac,3123529
Chile,Pfizer/BioNTech,248718
Chile,Sinovac,3123882
Chile,Pfizer/BioNTech,263622
Chile,Sinovac,3246540
Chile,Pfizer/BioNTech,294545
Chile,Sinovac,3386998
Chile,Pfizer/BioNTech,313112
Chile,Sinovac,3680383
Chile,Pfizer/BioNTech,322222
Chile,Sinovac,3981884
Chile,Pfizer/BioNTech,327978
Chile,Sinovac,4274065
Chile,Pfizer/BioNTech,328322
Chile,Sinovac,4307507
Chile,Pfizer/BioNTech,328428
Chile,Sinovac,4315366
Chile,Pfizer/BioNTech,341027
Chile,Sinovac,4653476
Chile,Pfizer/BioNTech,378610
Chile,Sinovac,4992499
Chile,Pfizer/BioNTech,420223
Chile,Sinovac,5352300
Chile,Pfizer/BioNTech,465965
Chile,Sinovac,5723689
Chile,Pfizer/BioNTech,483379
Chile,Sinovac,6080719
Chile,Pfizer/BioNTech,483932
Chile,Sinovac,6130626
Chile,Pfizer/BioNTech,483932
Chile,Sinovac,6137213
Chile,Pfizer/BioNTech,507854
Chile,Sinovac,6543640
Chile,Pfizer/BioNTech,561401
Chile,Sinovac,6900406
Chile,Pfizer/BioNTech,616944
Chile,Sinovac,7212204
Chile,Pfizer/BioNTech,666548
Chile,Sinovac,7497604
Chile,Pfizer/BioNTech,689721
Chile,Sinovac,7768980
Chile,Pfizer/BioNTech,691641
Chile,Sinovac,7801258
Chile,Pfizer/BioNTech,691651
Chile,Sinovac,7805272
Chile,Pfizer/BioNTech,727748
Chile,Sinovac,8037960
Chile,Pfizer/BioNTech,787683
Chile,Sinovac,8218946
Chile,Pfizer/BioNTech,840586
Chile,Sinovac,8385153
Chile,Pfizer/BioNTech,895184
Chile,Sinovac,8543268
Chile,Pfizer/BioNTech,933624
Chile,Sinovac,8722549
Chile,Pfizer/BioNTech,935659
Chile,Sinovac,8736207
Chile,Pfizer/BioNTech,935659
Chile,Sinovac,8737599
Chile,Pfizer/BioNTech,957712
Chile,Sinovac,8982338
Chile,Pfizer/BioNTech,1015212
Chile,Sinovac,9203549
Chile,Pfizer/BioNTech,1061389
Chile,Sinovac,9437733
Chile,Pfizer/BioNTech,1085179
Chile,Sinovac,9717320
Chile,Pfizer/BioNTech,1085405
Chile,Sinovac,9724136
Chile,Pfizer/BioNTech,1085598
Chile,Sinovac,9727172
Chile,Pfizer/BioNTech,1085601
Chile,Sinovac,9728291
Chile,Pfizer/BioNTech,1116760
Chile,Sinovac,9981982
Chile,Pfizer/BioNTech,1199572
Chile,Sinovac,10139034
Chile,Pfizer/BioNTech,1288876
Chile,Sinovac,10283068
Chile,Pfizer/BioNTech,1367166
Chile,Sinovac,10444362
Chile,Pfizer/BioNTech,1416424
Chile,Sinovac,10614091
Chile,Pfizer/BioNTech,1424253
Chile,Sinovac,10632292
Chile,Pfizer/BioNTech,1424759
Chile,Sinovac,10634239
Chile,Pfizer/BioNTech,1489561
Chile,Sinovac,10806489
Chile,Pfizer/BioNTech,1577805
Chile,Sinovac,10953607
Chile,Pfizer/BioNTech,1667340
Chile,Sinovac,11093607
Chile,Pfizer/BioNTech,1735372
Chile,Sinovac,11232786
Chile,Pfizer/BioNTech,1786131
Chile,Sinovac,11376253
Chile,Pfizer/BioNTech,1792058
Chile,Sinovac,11392614
Chile,Pfizer/BioNTech,1792737
Chile,Sinovac,11394575
Chile,Pfizer/BioNTech,1816803
Chile,Sinovac,11565490
Chile,Pfizer/BioNTech,1861278
Chile,Sinovac,11710378
Chile,Pfizer/BioNTech,1907352
Chile,Sinovac,11841923
Chile,Pfizer/BioNTech,1954474
Chile,Sinovac,11995548
Chile,Pfizer/BioNTech,1983463
Chile,Sinovac,12150214
Chile,Pfizer/BioNTech,1985860
Chile,Sinovac,12165503
Chile,Pfizer/BioNTech,1985861
Chile,Sinovac,12166545
Chile,Pfizer/BioNTech,2031236
Chile,Sinovac,12317896
Chile,Pfizer/BioNTech,2095125
Chile,Sinovac,12425565
Chile,Oxford/AstraZeneca,3607
Chile,Pfizer/BioNTech,2150008
Chile,Sinovac,12536224
Chile,Oxford/AstraZeneca,10150
Chile,Pfizer/BioNTech,2182577
Chile,Sinovac,12652537
Chile,Oxford/AstraZeneca,23877
Chile,Pfizer/BioNTech,2213630
Chile,Sinovac,12695633
Chile,Oxford/AstraZeneca,24163
Chile,Pfizer/BioNTech,2214807
Chile,Sinovac,12696470
Chile,Oxford/AstraZeneca,24345
Chile,Pfizer/BioNTech,2215199
Chile,Sinovac,12697362
Chile,Oxford/AstraZeneca,44443
Chile,Pfizer/BioNTech,2239108
Chile,Sinovac,12805240
Chile,Oxford/AstraZeneca,61217
Chile,Pfizer/BioNTech,2285278
Chile,Sinovac,12912005
Chile,Oxford/AstraZeneca,71044
Chile,Pfizer/BioNTech,2333873
Chile,Sinovac,13028788
Chile,Oxford/AstraZeneca,78260
Chile,Pfizer/BioNTech,2374772
Chile,Sinovac,13138965
Chile,Oxford/AstraZeneca,82408
Chile,Pfizer/BioNTech,2408783
Chile,Sinovac,13248793
Chile,Oxford/AstraZeneca,83078
Chile,Pfizer/BioNTech,2414523
Chile,Sinovac,13267978
Chile,Oxford/AstraZeneca,83148
Chile,Pfizer/BioNTech,2414588
Chile,Sinovac,13269248
Chile,Oxford/AstraZeneca,86103
Chile,Pfizer/BioNTech,2454095
Chile,Sinovac,13400520
Chile,Oxford/AstraZeneca,88082
Chile,Pfizer/BioNTech,2520274
Chile,Sinovac,13525149
Chile,Oxford/AstraZeneca,89750
Chile,Pfizer/BioNTech,2579769
Chile,Sinovac,13647360
Chile,Oxford/AstraZeneca,90302
Chile,Pfizer/BioNTech,2627708
Chile,Sinovac,13756567
Chile,Oxford/AstraZeneca,90545
Chile,Pfizer/BioNTech,2672647
Chile,Sinovac,13870886
Chile,Oxford/AstraZeneca,90585
Chile,Pfizer/BioNTech,2672941
Chile,Sinovac,13872010
Chile,Oxford/AstraZeneca,90585
Chile,Pfizer/BioNTech,2673021
Chile,Sinovac,13872366
Chile,Oxford/AstraZeneca,90880
Chile,Pfizer/BioNTech,2726417
Chile,Sinovac,13990353
Chile,Oxford/AstraZeneca,92310
Chile,Pfizer/BioNTech,2805090
Chile,Sinovac,14094057
Chile,Oxford/AstraZeneca,98828
Chile,Pfizer/BioNTech,2884666
Chile,Sinovac,14174981
Chile,Oxford/AstraZeneca,105546
Chile,Pfizer/BioNTech,2955670
Chile,Sinovac,14289112
Chile,Oxford/AstraZeneca,105617
Chile,Pfizer/BioNTech,2962722
Chile,Sinovac,14291655
Chile,Oxford/AstraZeneca,106110
Chile,Pfizer/BioNTech,2975324
Chile,Sinovac,14311674
Chile,Oxford/AstraZeneca,106130
Chile,Pfizer/BioNTech,2976454
Chile,Sinovac,14314809
Chile,Oxford/AstraZeneca,118540
Chile,Pfizer/BioNTech,3050734
Chile,Sinovac,14465119
Chile,Oxford/AstraZeneca,136115
Chile,Pfizer/BioNTech,3162229
Chile,Sinovac,14582847
Chile,Oxford/AstraZeneca,161507
Chile,Pfizer/BioNTech,3236438
Chile,Sinovac,14712298
Chile,Oxford/AstraZeneca,195444
Chile,Pfizer/BioNTech,3293186
Chile,Sinovac,14824851
Chile,Oxford/AstraZeneca,227547
Chile,Pfizer/BioNTech,3341250
Chile,Sinovac,14931030
Chile,Oxford/AstraZeneca,235991
Chile,Pfizer/BioNTech,3353513
Chile,Sinovac,14957714
Chile,Oxford/AstraZeneca,237385
Chile,Pfizer/BioNTech,3355074
Chile,Sinovac,14964853
Chile,CanSino,74
Chile,Oxford/AstraZeneca,281183
Chile,Pfizer/BioNTech,3423220
Chile,Sinovac,15068534
Chile,CanSino,10458
Chile,Oxford/AstraZeneca,326593
Chile,Pfizer/BioNTech,3526553
Chile,Sinovac,15130817
Chile,CanSino,33777
Chile,Oxford/AstraZeneca,359078
Chile,Pfizer/BioNTech,3606648
Chile,Sinovac,15199144
Chile,CanSino,73397
Chile,Oxford/AstraZeneca,361422
Chile,Pfizer/BioNTech,3654222
Chile,Sinovac,15273420
Chile,CanSino,107763
Chile,Oxford/AstraZeneca,362976
Chile,Pfizer/BioNTech,3678745
Chile,Sinovac,15358197
Chile,CanSino,117676
Chile,Oxford/AstraZeneca,363286
Chile,Pfizer/BioNTech,3683861
Chile,Sinovac,15380587
Chile,CanSino,119466
Chile,Oxford/AstraZeneca,363316
Chile,Pfizer/BioNTech,3684454
Chile,Sinovac,15383174
Chile,CanSino,146933
Chile,Oxford/AstraZeneca,365272
Chile,Pfizer/BioNTech,3696196
Chile,Sinovac,15523458
Chile,CanSino,167012
Chile,Oxford/AstraZeneca,366956
Chile,Pfizer/BioNTech,3709842
Chile,Sinovac,15672846
Chile,CanSino,183741
Chile,Oxford/AstraZeneca,368928
Chile,Pfizer/BioNTech,3722130
Chile,Sinovac,15835559
Chile,CanSino,196898
Chile,Oxford/AstraZeneca,370216
Chile,Pfizer/BioNTech,3736096
Chile,Sinovac,16010284
Chile,CanSino,200943
Chile,Oxford/AstraZeneca,371452
Chile,Pfizer/BioNTech,3752990
Chile,Sinovac,16167121
Chile,CanSino,201336
Chile,Oxford/AstraZeneca,371780
Chile,Pfizer/BioNTech,3755804
Chile,Sinovac,16196097
Chile,CanSino,201385
Chile,Oxford/AstraZeneca,371795
Chile,Pfizer/BioNTech,3756349
Chile,Sinovac,16197555
Chile,CanSino,205562
Chile,Oxford/AstraZeneca,372968
Chile,Pfizer/BioNTech,3788401
Chile,Sinovac,16381871
